mode,side,frame_index,x_pix,y_pix,replacement_depth,nearest_distance_pix
training,left,0,319.0,257.0,267.55798572615595,0.3010694735242381
training,left,1,319.0,257.0,267.44724824322185,0.3990344973860054
training,left,2,319.0,257.0,267.33184983052234,0.4614264100682432
training,left,3,319.0,257.0,267.6308230348508,0.4057362408630754
training,left,4,319.0,257.0,267.4808378850162,0.4633524061850881
training,left,5,308.0,257.0,268.64896600794543,0.24828276811229963
training,left,6,307.0,258.0,269.11742646813633,0.4643416703156864
training,left,7,308.0,257.0,268.75573514286907,0.04291980456421788
training,left,8,308.0,258.0,269.0421127288214,0.50073794558007
training,left,9,308.0,257.0,268.856156097279,0.5761910166100466
training,left,10,314.0,262.0,271.07382393967396,0.38221805434556755
training,left,11,314.0,262.0,270.9956456781901,0.3577047920612253
training,left,12,314.0,262.0,271.11469385164105,0.2184017601549336
training,left,13,313.0,262.0,271.1879541277021,0.4031246651397829
training,left,14,313.0,262.0,271.2469356481478,0.24819326131312852
training,left,15,317.0,268.0,271.17567185819894,0.15236372672991638
training,left,16,317.0,268.0,271.26195892412636,0.08032122869423185
training,left,17,317.0,268.0,271.25740481258424,0.11556749727773144
training,left,18,317.0,268.0,271.1630621343978,0.05133862849844398
training,left,19,318.0,268.0,270.94016925583895,0.13311183445234376
training,left,20,309.0,266.0,271.38142059922785,0.3729527239671173
training,left,21,309.0,266.0,271.4138577819331,0.45761389425982607
training,left,22,308.0,266.0,271.48043133813206,0.533467069045469
training,left,23,309.0,266.0,271.3505635200385,0.4719147512526537
training,left,24,309.0,266.0,271.29547700403134,0.5616927703978447
training,right,0,178.0,258.0,268.0465992520777,0.4819494281533192
training,right,1,178.0,258.0,267.92564718275315,0.4515980868860066
training,right,2,178.0,258.0,268.09426388229633,0.5977125334929342
training,right,3,177.0,258.0,268.20944157163035,0.6943531205142293
training,right,4,177.0,258.0,268.3473725780008,0.45499948943602164
training,right,5,167.0,257.0,270.09022935239204,0.08536019200577213
training,right,6,167.0,257.0,270.1296838343751,0.4890609017195189
training,right,7,167.0,257.0,269.9458229342828,0.09464386848521752
training,right,8,167.0,257.0,269.83529932391104,0.24748570289102584
training,right,9,167.0,257.0,270.0744443620354,0.42754734831847274
training,right,10,173.0,264.0,272.10214749457225,0.4896548672707865
training,right,11,173.0,264.0,272.16963282536864,0.4865115008461762
training,right,12,173.0,264.0,272.1006172915697,0.5023269763319097
training,right,13,172.0,264.0,272.26329612107344,0.6647731522838244
training,right,14,173.0,264.0,272.19197780210527,0.587688029476072
training,right,15,177.0,268.0,271.81555720105786,0.38093015943174685
training,right,16,177.0,268.0,271.6877626334729,0.4233720796373346
training,right,17,177.0,268.0,271.69495187706843,0.31226166596077665
training,right,18,177.0,268.0,271.6066466777293,0.3633919172525232
training,right,19,177.0,267.0,271.6316606768844,0.3452964410013616
training,right,20,170.0,269.0,272.58098697959065,0.5143218671685974
training,right,21,170.0,269.0,272.59662767900295,0.4318552195770642
training,right,22,171.0,269.0,272.3429555661147,0.3086016386455618
training,right,23,171.0,269.0,272.27849341484625,0.2938909975842727
training,right,24,171.0,269.0,272.2957299341965,0.4090000488148156
